flow_number,action,packets_length_total
544,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
545,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
546,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0, 0]"
547,writing search,"[0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, -31, 0, 0, 418, 0]"
549,user profile selection,"[1358, 905, 0, 0, 0, -44, 0, 0, 0, -311, 0, -44, -47, 0, 0, 52, 0, 0, 84, 0, 53, -33, 0, 0, 0, 0, 314, 0, 0, -33, 0, 0, 0, 0, 0, 1358, 0, 338, 0]"
551,facebook in background for 200 sec,"[-2716, -2332, 0, 0, 0, 0, 0, 0, 0, 316, 0, -441, 0, 0, 0, 0, 0, -352, 0, 671, 0, 0, 191, 0, -1754, 0, 0, 0, 0]"
553,facebook in background for 200 sec,"[-344, 0, 0, 52, 84, -33, -33, 0, 0, 0, -320, 52, 84, -33, -33, 52, -33, 366, -33, 0, 0, 0, 0, 0, -462, 52, 488, -33, 52, -33, 84, -33, -33, 0, 0, 0, 0, 0, 52, 340, -33, 52, -33, 84, -33, 0, -33, 0, 0, 0, 481, -33, 0, 0, -33, -50, 0, -50, 0, -50, 0, 0, -50, 0, -727, 0, 0, 33, 0, 0]"
554,facebook in background for 200 sec,"[-39, 0, 0, 0]"
555,facebook in background for 200 sec,"[39, 0, 0, 0]"
556,facebook in background for 200 sec,"[39, 0, 0, 0, 0]"
557,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
558,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
559,facebook in background for 200 sec,"[-68, 0, 0]"
