flow_number,action,packets_length_total
525,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
526,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
527,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
528,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
529,writing search,"[0, 0, 0, 0, 0, 1358, 0, 321, 0, 0, 0, -202, -72, -40, -400, 0, 0, 0, 0, 33, 0, -44, 0, 0, 52, 0, 0, 84, 0, -33, -44, 33, 0, 52, 0, 314, 0, 0, 0, -33, 0, 0, 0, 0]"
530,writing search,"[-1298, -31, 0, 0, 415, 0, 0, 35, 0, 1358, 0, 203, 0, 35, 0]"
533,user photos selection,"[-267, 35, 0, 285, 0]"
534,writing message,"[35, 1358, 0, 0, 1164, 96, 0, 1078, 0, 35, 0, 35, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 333, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 43, 0]"
536,back to news,"[311, 0, 0, -453, 0, 647, 0, 0, -366, 0, 466, 0, 191, 0]"
537,facebook in background for 200 sec,"[0, 0, 52, 84, -33, -33, 52, 366, -33, -33, 0, 0, 0, 0, 0, -463, 52, 84, -33, 52, -33, 489, -33, 0, -33, 0, 0, 0, 0, -320, 52, 84, -33, -33, 52, 481, -33, -33, 0, 0, 0, 0, 0, 52, 84, 52, -33, -33, 341, 0, -33, -33, 0, 0, 0, -50, 0, -50, 0, -50, 0, 0, -50, 0, 0, -50, 0, 0, 33, 0]"
538,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
539,facebook in background for 200 sec,"[-39, 0, 0, 0]"
540,facebook in background for 200 sec,"[-39, 0, 0, 0]"
541,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
542,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
543,facebook in background for 200 sec,"[-68, 0, 0]"
