flow_number,action,packets_length_total
976,open facebook,"[0, 0, 0, 0, 0, 74]"
977,open facebook,"[0, 0, 0]"
978,open facebook,"[0, 0, 0]"
979,open facebook,"[0, 0, 0]"
980,open facebook,"[0, 0, 0]"
981,open facebook,"[0]"
982,open facebook,"[0, 0, -928, 0]"
983,open facebook,"[0, 0, -927]"
984,open facebook,"[0, 0, 0]"
985,open facebook,"[0]"
986,open facebook,"[-1817, -2716, -86, 0, 74, 0, 0]"
987,open facebook,"[1358, 0, 927, 0, 0]"
988,open facebook,"[0]"
989,open facebook,"[-74, 0]"
990,open facebook,"[0, -74, 0]"
991,open facebook,"[0, 0, 0, 0]"
992,open facebook,"[1358, 0, 927, 0, 0, 74]"
993,open facebook,"[0]"
994,open facebook,"[0, 0, 0, 400, 0, 1358, 247, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0]"
995,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
996,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, -1358, 0, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
997,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
998,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
999,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
1000,open facebook,"[-1358, 0, 0, -1358, -1358, 0, 0, -1358, -1358, 0, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358]"
1001,open facebook,"[0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358]"
1002,open facebook,"[1358, 1358, 0, 1358, 0, 1358, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1031, 0]"
1003,open facebook,"[0, -164, 0, -1358, 0, -1358, -1358, 0, -1358, -1358, -1358, 0, -1358, -1358, 0, -762, 0, -1358, 0]"
1004,open facebook,"[-1358, 0, -1358, 0, 0, -7, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1261, 0, -1358, 0]"
1005,open facebook,"[-164, 0, -1358, 0, -1232, 0, 0, -1358, -662, 0, -1068, 0, -1358, 0, -1358, 0, -537, 0, -1358, 0]"
1007,open facebook,"[0, 0]"
1011,writing search,"[-247, 0, 404, 396]"
1017,writing search,"[0, 52, 0, 315, 0, -33, 33, 0, 0, 0]"
1018,writing search,"[-1296, -31, 0, 0, 541, 0, 0]"
1019,writing search,"[-35, 0, -809, 0, -35, 0, -365, 0, 0, -35, -344, 0, 0, -35, 0, -35]"
1025,user profile selection,"[0, 1020, 402, 0, 0, 495, 0, 0, 35, 1358, 0, 0, 1207]"
1027,user profile selection,"[0, -96, 0, 0, -1112, -41, 0, -35, 0, -1358, 0, -318, 0, -35, 0, 2716, 2716]"
1028,user profile selection,"[-2716, -71, 373, 0, 0, 0, 0, 0, 0, -2716, -2716, -2716, -640, 0, 0, 0]"
1029,user photos selection,"[35, 1358, 0, 0, 1219, 0, 96, 0, 1122, 0]"
1031,writing message,"[-516, 35, 0, 537, 0]"
1032,facebook in background for 200 sec,"[-2716, -1034, 0, 0, 316, 0, 0, 0, 291, 0, 0, 35, 0]"
1039,back to news,"[-341, 33, 33, 0, 0, 0, 0, 0, -52, -84, 33, 33, -52, -482]"
1040,facebook in background for 200 sec,"[0, 33, 33, -487, 0, 0, 50, 0, 50, 0, 50, 0, 0, 50, 0]"
1041,facebook in background for 200 sec,"[0, 0, -33, 0]"
1042,facebook in background for 200 sec,"[-39, 0, 0, 0]"
1043,facebook in background for 200 sec,"[-39, 0, 0, 0]"
1044,facebook in background for 200 sec,"[-39, 0, 0, 0]"
1045,facebook in background for 200 sec,"[-39, 0, 0]"
1046,facebook in background for 200 sec,"[0, 0, 0, 0, 0, 0]"
1047,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1048,facebook in background for 200 sec,"[0, 0, 0]"
1049,facebook in background for 200 sec,"[-68, 0, 0]"
