flow_number,action,packets_length_total
394,open facebook,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
395,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
396,open facebook,"[0, 0, 0, 0, 927, 0, 0, 0, 74, 0]"
397,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
398,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
399,writing search,"[-1297, 0, 0, -31, 415, 0, 0, 35, 0, 1358, 0, 309, 0, 35, 0]"
400,user profile selection,"[1358, 338, 0, 0]"
401,writing message,"[0, 0, 0, 0, 0, 928, 0, -2716, -1744, 0, 74, 0, 0, 0, 0, 0, 0, 1358, 0, 1358, 0, 1358, 296, 0, 0, 0, 397, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0]"
403,facebook in background for 200 sec,"[366, 0, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, 0, -1358, -1358, 0, -189, 0, -1358, -1358, 0, -1358, -1358, 0, -337, -1358, 0, 0, -284, -1358, 0, -1358, 0, -1346, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -709, 0]"
407,facebook in background for 200 sec,"[-39, 0, 0, 0]"
408,facebook in background for 200 sec,"[-39, 0, 0, 0]"
409,facebook in background for 200 sec,"[50, 0, 0, 0, -33, 0]"
410,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
411,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
412,facebook in background for 200 sec,"[-68, 0, 0]"
