flow_number,action,packets_length_total
139,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
140,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
141,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
142,writing search,"[-1297, 0, -31, 0, 0, 414, 0, 0, 0, 814, 0, 35, 778, 0, 0]"
143,user profile selection,"[-72, -40, -396, 0, 0, 0, 33, 0, 0, 0, -44, 0, 52, 84, 0, 0, 0, -33, -44, 33, 0, 0, 0, 0, 0, 313, 0, -33, 33, 0, 0, 0, 0, 0, 1358, 338, 0, 0]"
146,facebook in background for 200 sec,"[2716, 2716, 2716, 2716, 48, 0, 0, 0, 0, 0, 0, 0, 2716, 2716, 762, 0, 0, 0, 0, 0, 0, 0, 1769, 0, 0, 0, 0, -437, 0]"
148,back to news,"[0, 0, 0, -1253, 0, 0, 0, 80, 0, -31, 70, 444, 2182, 0, 1358, 0, 64, 0, 160, 1246, 0, 1358, 64, 0, 0, 0, 0, 278, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 0, 0, 0]"
152,facebook in background for 200 sec,"[-346, 0, 52, 0, 84, -33, 0, -33, 0, 0, 52, -321, 84, -33, -33, 52, 366, -33, 0, -33, 0, 0, 0, 0, 52, -466, 84, -33, -33, 52, 479, -33, -33, 0, 0, 0, 0, 0, 52, 341, -33, -33, 52, 84, -33, -33, 0, 0, 0, 0, 486, -33, -33, 0, 0, -50, 0, -50, 0, -50, 0, 0, -50, 0, -50, 0, 0, 0, 33, 0]"
153,facebook in background for 200 sec,"[39, 0, 0, 0, 0]"
154,facebook in background for 200 sec,"[39, 0, 0, 0, 0]"
155,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
156,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
157,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
158,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
159,facebook in background for 200 sec,"[-39, 39, 0, 0, 0, 0]"
160,facebook in background for 200 sec,"[-68, 0, 0]"
