flow_number,action,packets_length_total
280,open facebook,"[0, 0, 0, 0]"
281,open facebook,"[0, 0, 0, 0]"
282,open facebook,"[0, 0, 0, 0]"
283,open facebook,"[0, 0, 0]"
284,open facebook,"[0]"
285,open facebook,"[0]"
286,open facebook,"[216, 74, 0, 0, 0, 0]"
287,open facebook,"[0, 0]"
288,open facebook,"[1358, 0, 928, 0]"
289,open facebook,"[1358, 0, 929, 0]"
290,open facebook,"[1358, 0, 929, 0]"
291,open facebook,"[0]"
292,open facebook,"[-64, 0, 74, 0]"
293,open facebook,"[-64, -1819, -2691, 0, 74, 0, 0]"
294,open facebook,"[0, -74, 0]"
295,open facebook,"[0, 0, 0, 0]"
296,open facebook,"[1358, 928, 0, 0, 0, 74, 0]"
297,open facebook,"[0, 0, 0, 422, 0, 1358, 0, 260, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358]"
298,open facebook,"[0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358]"
299,open facebook,"[0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358]"
300,open facebook,"[0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358]"
301,open facebook,"[0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358]"
302,open facebook,"[0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358]"
303,open facebook,"[0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0]"
304,open facebook,"[-1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, -1358, 0, -1358, 0, -1358, -1358, 0, -1358, -1358]"
305,open facebook,"[0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0]"
306,open facebook,"[-1358, 0, -315, -1358, 0, -164, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -781, 0]"
307,open facebook,"[0, -1358, 0, -1358, -7, 0, -1358, -1358, 0, -1358, 0, -1358, -1358, -1254, 0, -1358, -1358, 0, -1358]"
313,writing search,"[-33, 0]"
318,writing search,"[1358, 0, 230, 0, 805, 0, 1358]"
319,writing search,"[-33, 0, -52, 0, 0, -84, 33, 44, 0, 0, 0]"
320,writing search,"[0, 0, -240, -1358, 0, -1358, 0, -573, 0]"
321,writing search,"[0, 52, 0, 315, -33, 33, 0, 0]"
322,writing search,"[1296, 31]"
323,writing search,"[0, 0, 0, -539, 0, 0, -35, -1358, 0, 0, -214, 0, -35, 0, -783, -35]"
324,writing search,"[0]"
326,user profile selection,"[35, 0, 944, 0]"
330,user profile selection,"[-33, 0, -1358, 0, -338]"
331,user profile selection,"[0]"
332,user profile selection,"[-927, 35, 0, 0, 0, 1297, 1302, 0, 0, 96, 0, 1124, 0, 805, 0]"
333,user profile selection,"[0, 1289, 0, 82, 0, -2716, -2716, -536, 35, 0, 0, 370, 0, 326, 0, 0, -2716]"
334,user photos selection,"[-1043, 0, 0, 0, 0, 0, 35, 1358, 0, 0]"
335,writing message,"[0]"
337,back to news,"[-294]"
345,back to news,"[0, 0, 0]"
346,back to news,"[-35, -35, 0, -457, 0, -440, -35]"
347,back to news,"[0, 0, -930, 0]"
348,back to news,"[0, 0, 0]"
349,back to news,"[0, 0, 0]"
350,back to news,"[-517, 0, 0, 179]"
351,back to news,"[-64, 0, 0, 74, 0]"
352,back to news,"[-431, 0, -433, 0]"
353,back to news,"[0, 0, -164, 0]"
354,back to news,"[0, -92, -778, 0, -31, 384, 66, 39, 0]"
355,back to news,"[-64, -719, 580, -31, 31, 445, 70, 39, 0]"
356,back to news,"[-39, 0, 0]"
357,back to news,"[-39, 0, 0]"
358,back to news,"[0, 0, 0, 0, 1275, 0, 0]"
359,back to news,"[0, 0, 0, 0]"
360,back to news,"[1358, 1290, 0, 0, -92, -540, 0, 31]"
361,back to news,"[-64, -92, -538, 0, 0, 31, 0, 0]"
362,back to news,"[0, 467, 73, 31, 39, 0, 0, 0]"
363,back to news,"[-467, -73, -31, 0, -39, 0, 0]"
364,back to news,"[-1358, 0]"
379,facebook in background for 200 sec,"[-39, 0, 0, 0]"
380,facebook in background for 200 sec,"[-39, 0, 0]"
381,facebook in background for 200 sec,"[0]"
382,facebook in background for 200 sec,"[-726, -50, 0, 0, 0, 33, 0]"
383,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
384,facebook in background for 200 sec,"[-39, 0, 0, 0]"
385,facebook in background for 200 sec,"[0, 39, 0, 0, 0, 0, 0, 0, 0, 0]"
386,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
387,facebook in background for 200 sec,"[68]"
388,facebook in background for 200 sec,"[0, 0]"
