flow_number,action,packets_length_total
19,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
20,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
21,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
23,writing search,"[-1322, -31, 0, 0, 0, 540, 0]"
24,user profile selection,"[1358, 0, 338, 0]"
27,writing message,"[-250, -291, -229, 35, 0, 0, 0, 185, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1254, 0, 0, 1358, 0, 64, 0, 271, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 24, 1358, 0, 0, 64, 234, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 1044, 0, 1358, 64, 0, 0]"
28,back to news,"[1163, 96, 0, 0, 1074, 0]"
28,facebook in background for 200 sec,"[-2716, -2716, -2716, -2716, 0, -204, 0, 0, 0, 0, 0, 0, -2716, -2716, -1081, 0, 0, 0, 0, 0, 0, 0, -1767, 0, 0, 0, 0, 438, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 779, 0, 35, 0, 1113, 0]"
30,facebook in background for 200 sec,"[-347, 0, 0, 52, 84, -33, -33, 0, 0, 0, -322, 52, 84, -33, 52, -33, 367, -33, -33, 0, 0, 0, 0, 0, -462, 52, 84, -33, -33, 52, 490, -33, -33, 0, 0, 0, 0, 0, 52, 341, -33, -33, 52, 84, -33, -33, 0, 0, 0, 0, 480, 0, -33, -33, 0, -50, 0, -50, 0, -50, 0, -50, 0, 0, -50, 0, 0, 0, 33, 0]"
31,facebook in background for 200 sec,"[39, 0, 0, 0, 0]"
32,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
33,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
34,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
36,facebook in background for 200 sec,"[-68, 0, 0]"
