flow_number,action,packets_length_total
711,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
712,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
713,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
714,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
715,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
717,open facebook,"[0, 0, 0, 0, 0, 80, 0, 0, 0]"
721,writing message,"[0, 0, 0, 0, 0, 928, 0, -2716, -1877, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 467, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 66, 0, 1358, 0, 164, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 0]"
725,facebook in background for 200 sec,"[-174, 0, 0, 0, 0, 0, 0]"
726,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0]"
727,facebook in background for 200 sec,"[-39, 0, 0, 0]"
728,facebook in background for 200 sec,"[-39, 0, 0, 0]"
729,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
730,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
731,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
732,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
733,facebook in background for 200 sec,"[-68, 0, 0]"
