flow_number,action,packets_length_total
609,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
610,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
611,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
612,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
613,writing search,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
613,user profile selection,"[-31, 0, 0, 0, 542, 0, 35, 0]"
615,user profile selection,"[322, 0, 0, -202, 0, -72, -40, 0, -399, 0, 0, 0, 33, 0, 0, 0, 52, 0, 84, 0, -33, -44, 0, 0, 0, 314, -33, -33, 33, 0, 0, 0, 0, 0, 0, 0, 1358, 0, 338, 0]"
617,facebook in background for 200 sec,"[1166, 0, 96, 0, 1079, 0, -2716, -1358, 0, -567, 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, -977]"
619,facebook in background for 200 sec,"[-439, 0]"
626,facebook in background for 200 sec,"[-39, 0, 0, 0]"
627,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0]"
628,facebook in background for 200 sec,"[-726, -50, 0, 0, 0, 33, 0]"
629,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
630,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
631,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
632,facebook in background for 200 sec,"[-68, 0, 0]"
