flow_number,action,packets_length_total
895,open facebook,"[0, 0, 0, 0, 74, 0]"
896,open facebook,"[0, 0, 0]"
897,open facebook,"[0, 0, 0]"
898,open facebook,"[0, 0, 0]"
899,open facebook,"[0, 0, 0]"
900,open facebook,"[0, 0, -928, 0]"
901,open facebook,"[0, 0, -928, 0]"
902,open facebook,"[0, 0, -928]"
903,open facebook,"[0]"
904,open facebook,"[0]"
905,open facebook,"[0, 0]"
906,open facebook,"[-64, -1817, -2716, -87, 0, 74, 0, 0]"
907,open facebook,"[-64, 0, 74, 0]"
908,open facebook,"[0, 0, 0, -928]"
909,open facebook,"[0, 0, 0, 0, 0, 0, 0]"
910,open facebook,"[0, -74, 0]"
911,open facebook,"[0, -74, 0]"
912,open facebook,"[-507, 0, 0, 399, 1358, 0, 0, 259, 0, 1358, 0, 1358, 0, 1358, 0]"
913,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, 0, -1358, -1358, 0, 0, -1358, -1358, 0, -1358, 0, -1358, 0]"
914,open facebook,"[-1358, 0, -1358, 0, 0, -1358, -1358, 0, 0, -1358, -1358, 0, 0, -1358, -1358, 0, -1358, 0, -1358, 0]"
915,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
916,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
917,open facebook,"[-1358, 0, -1358, 0, 0, -1358, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
918,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358]"
919,open facebook,"[-1358, 0, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, -1358, 0, -1358, -1358, 0, -1358, 0, -1358]"
920,open facebook,"[-1358, 0, -1358, -1358, -1358, 0, -1358, -1358, -1358, 0, -1358, 0, -1358, 0, -1358, -1358, -1358, 0, -1358, -1358]"
921,open facebook,"[0, 765, 1358, 164, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 1358, 0, 1358, 0, 1358, 799, 0, 0]"
922,open facebook,"[-1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1226, -1358, 0, -1358, -1358, 0, -7, -1358]"
923,open facebook,"[0, 671, 1060, 1358, 0, 1358, 531, 0, 1358, 881, 0, 0, 1358, 1358, 0]"
935,writing search,"[-33, 0, -52, 0, -314, 0, 33, 0, 0, 0, 0, 0, 0]"
936,writing search,"[-1295, 0, 0, -31]"
937,writing search,"[44, 539, 0, 0, 35, 957, 0, 0, 35, 0]"
942,user profile selection,"[1358, 1011]"
944,user profile selection,"[0, 0, 424, 0, 0, 767, 0, 35, 0, 1358, 0]"
945,user profile selection,"[-33, 0, -1358, 0, -338, 0]"
946,user profile selection,"[-1273, 0, -96, 0]"
948,writing message,"[35, 0, 536]"
952,writing message,"[-1358, -1358, 0, -1358, 0, -1358, 0, -1358, 0, 0, 0, -1358, 0, 0, -798, -1358, 0, 0, -64]"
953,writing message,"[-186, 0]"
961,back to news,"[-33, -33, 0, -33, 481, -33, 0, 0, -467, 52, 84, -33, -33, 0, 0, 0]"
963,facebook in background for 200 sec,"[-33, 50, 0, 50, 0, 0, 728, 0, 0, 0]"
964,facebook in background for 200 sec,"[-39, 0, 0]"
965,facebook in background for 200 sec,"[-39, 0, 0]"
966,facebook in background for 200 sec,"[0]"
967,facebook in background for 200 sec,"[0]"
968,facebook in background for 200 sec,"[33, 0]"
969,facebook in background for 200 sec,"[-39, 0, 0, 0]"
970,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
971,facebook in background for 200 sec,"[0, 0, -39, 0, 0]"
972,facebook in background for 200 sec,"[0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
973,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
974,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0]"
975,facebook in background for 200 sec,"[-68, 0, 0]"
