flow_number,action,packets_length_total
633,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
634,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
635,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
636,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
638,user profile selection,"[-72, -40, -401, 0, 0, 0, 0, 33, 0, 0, -44, 0, 52, 0, 84, 0, -33, -44, 0, 0, 0, 0, 0, 52, 0, 314, 0, -33, 33, 0, 0, 0, 0, 0, 1358, 0, 338, 0]"
639,writing message,"[0, 0, 0, 0, 0, 928, 0, -1816, -2716, -168, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 422, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 1358]"
641,facebook in background for 200 sec,"[2716, 871, 0, 0, 0, 0, 0, 0, -292, 0, 0, 0, 975, -35, -35, 0, -350, 0, -432, 0, -474, 0, 543, 563, 540, -35, 0, -35, 0, -35, 0, -35, 0, -464, 0, -457, 0, -433, -435, 0, -35, 0, -1358, 0, -1358, 0, -1358, 0, -1358, -1358, 0, -1358, -1358, -1358, 0, 0, 0, 0, -576, 0]"
650,facebook in background for 200 sec,"[-39, 0, 0, 0]"
651,facebook in background for 200 sec,"[-39, 0, 0, 0]"
652,facebook in background for 200 sec,"[-726, -50, 0, 0, 0, 33, 0]"
653,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
654,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
655,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
656,facebook in background for 200 sec,"[-68, 0, 0]"
