flow_number,action,packets_length_total
302,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
303,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
304,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
305,open facebook,"[0, 0, 0, 0, 928, 0, 0, 0, 74, 0]"
306,open facebook,"[0, 0, 0, 0, 966, 0, 0, -760, 0, 80, 0, 0, 705, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 117, 0, 0, 0, 0]"
307,writing search,"[-72, -40, -399, 0, 0, 0, 33, 0, 0, 0, -44, 0, 0, 52, 84, 0, 0, -33, -44, 0, 0, 0, 0, 0, 314, 0, -33, 33, 0, 0, 0]"
308,writing search,"[-1324, 0, -31, 0, 0, 413, 0, 0, 984, 0, 0, 35, 0, 779, 0, 35, 812, 0, 0, 35, 0, 800, 0]"
310,user profile selection,"[1358, 338, 0, 0]"
312,writing message,"[64, 0, 0, 186, 0]"
314,facebook in background for 200 sec,"[-2716, -47, 0, 0, 0, 367, 0, 0, 294, 0, 0, 0, -411, 1358, 0, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1251, 1358, 0, 1358, 0, 1358, 1358, 0, 332, 1358, 0, 289, 1358, 0, 0, 1358, 1352, 0, 0, 1358, 0, 164, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 181, 0, 1358, 1358, 0, 0, 1358, 0, 1358]"
315,facebook in background for 200 sec,"[-727, 0, 0, 0, 0]"
316,facebook in background for 200 sec,"[-39, 0, 0, 0]"
317,facebook in background for 200 sec,"[-39, 0, 0, 0]"
318,facebook in background for 200 sec,"[-39, 0, 0, 0]"
319,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
320,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
321,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
322,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
323,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
324,facebook in background for 200 sec,"[-68, 0, 0]"
