flow_number,action,packets_length_total
1050,open facebook,"[0, 0, 0, 0, 0]"
1051,open facebook,"[0, 0, 0]"
1052,open facebook,"[0, 0, 0]"
1053,open facebook,"[0, 0, 0]"
1054,open facebook,"[0]"
1055,open facebook,"[-74, 0, 0]"
1056,open facebook,"[0, 0, -927, 0, 2716, 1887]"
1057,open facebook,"[0]"
1058,open facebook,"[0, 0, 0]"
1059,open facebook,"[0]"
1060,open facebook,"[0]"
1061,open facebook,"[0]"
1062,open facebook,"[1358, 0, 928, 0]"
1063,open facebook,"[1358, 927, 0, 0]"
1064,open facebook,"[0, 0]"
1065,open facebook,"[0, 0, -74, 0]"
1066,open facebook,"[1358, 0, 928, 0, 0, 74]"
1067,open facebook,"[0, -74, 0]"
1068,open facebook,"[-57, 0, 0]"
1069,open facebook,"[0, -74, 0]"
1070,open facebook,"[0]"
1071,open facebook,"[0]"
1072,open facebook,"[1358, 927, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0]"
1073,open facebook,"[-1126, 0, 0]"
1074,open facebook,"[-35, 0, -1358, 0, 0, -239, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1288, 0]"
1075,open facebook,"[24, 0, 0, 0]"
1076,open facebook,"[1358, 0, 1358, 712, 0, 398, 0, 0, 1358, 164, 0, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0]"
1077,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, 0, -1358, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
1078,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
1079,open facebook,"[-366, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0]"
1080,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, 0, -1358, -1358, 0, 0, -1358, 0, -1358, -1358, 0, -1358, 0]"
1081,open facebook,"[-1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358]"
1082,open facebook,"[-1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358]"
1083,open facebook,"[0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358]"
1084,open facebook,"[-1358, 0, -1358, 0, -407, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0, 0, -1358]"
1085,open facebook,"[0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 700, 0, 1358, 0, 164, 0, 1358]"
1086,open facebook,"[0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1107, 0, 1358, 1358, 0, 0, 1358]"
1087,open facebook,"[0, 7, 0, 1358, 671, 0, 1063, 0, 1358, 164, 0, 0, 1358, 0, 401, 0, 1358, 0, 869]"
1088,open facebook,"[0, 211, 0, 41, 0, 35, 0, 469, 0]"
1089,open facebook,"[0, 0, 0, 0, 0, 1358, 0]"
1101,writing search,"[-33, 0, 0]"
1102,writing search,"[-1358, 0, 0, -1358, 0, -1358, -767, 0]"
1103,writing search,"[-1297, 0, -31, 0, 0, 540, 0]"
1104,writing search,"[-35, 0, -807, 0, -35, 0]"
1105,writing search,"[1518]"
1110,user profile selection,"[-682, 0, -1358, -1020, -35, 0, -402, 0, 0, 0, 0, -768, -35]"
1112,user profile selection,"[0, -1358, 0, -1271, 0, 0, -96, -1122, 0]"
1113,user profile selection,"[-2716, -1442, 370, 0, 0, 0, 0, 0, 0, 0, -2716, -2716, -2716]"
1114,user photos selection,"[1214, 0, 96]"
1115,writing message,"[0, 1112, 41, 0, 0, 0, 0, 546, 0]"
1119,menu news selection,"[0, 0, 0, 0, -754, 0, 0, 80, 469, 1358, 0, 1358, 0]"
1120,menu news selection,"[-1358, -1358, 0, -1358, -1358, 0, -1358, -1358, -1358, 0, 0, -1358, 0, -1358, 0, -1358, -1358, -1358]"
1121,menu news selection,"[0, 1358, 1358, 0, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0]"
1122,menu news selection,"[-1358, -1358, 0, -1358, -1358, 0, -1358, 0, -1358, -1358, 0, -1358, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358]"
1123,menu news selection,"[0, 1358, 1358, 0, 26, 1358, 0, 64, 186, 0]"
1124,menu news selection,"[0, 0, 0, 0]"
1125,menu news selection,"[0, 0, 0]"
1126,menu news selection,"[0, 1358, 0, 607, 0, -840, 0, 80, 0]"
1127,menu news selection,"[0, 0, -1358, 0, -607, 0]"
1128,menu news selection,"[0, -391, -159, -23, 0, -1358, -1358, 0, -1358, -1358, 0, -1358, -1358, 0]"
1129,menu news selection,"[0, -80, 0]"
1130,menu news selection,"[0, -1358, 0, -1358, 0, 0, -1358, -1358, 0, 0, -1358, -1358, 0, 0, -1358, -1358, 0, -1358, 0]"
1190,back to news,"[-488, 33, 33, 0, 0, 0, 0]"
1191,back to news,"[0, 0, -52, 0, -84, 0, 33, 33, -52]"
1192,facebook in background for 200 sec,"[33, 0, 0, 50, 0, 50, 0, 50, 0, 0, 728, 0, 0, 0, -33]"
1193,facebook in background for 200 sec,"[0]"
1194,facebook in background for 200 sec,"[-39, 0, 0, 0]"
1195,facebook in background for 200 sec,"[-39, 0, 0, 0]"
1196,facebook in background for 200 sec,"[-39, 0, 0, 0]"
1197,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
1198,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
1199,facebook in background for 200 sec,"[-39, 0, 39, 0, 0, 0]"
1200,facebook in background for 200 sec,"[-39, 0, 0]"
1201,facebook in background for 200 sec,"[0, 0, 0]"
1202,facebook in background for 200 sec,"[-39, 0, 39, 0, 0, 0]"
1203,facebook in background for 200 sec,"[-68, 0, 0]"
