flow_number,action,packets_length_total
657,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
658,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
659,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
660,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
661,open facebook,"[0, 0, 0, 0, 0, 928, 0, -24, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0]"
662,writing search,"[0, 0, 0, 0, 0, 1358, 0, 322, 0, 0, -202, 0, -72, -40, -401, 0, 0, 0, 0, 33, 0, 0, -44, 0, 0, 52, 84, 0, 0, -33, -44, 33, 0, 0, 0, 0, 0, 315, 0, -33, 33, 0, 0, 0]"
665,user profile selection,"[-735, 0, 0, 1358, 0, 338, 0]"
667,writing message,"[0, 0, 0, -538]"
668,back to news,"[0, 0, 0, 0, 0, 929, 0, -1164, 0, 74, 0, 0, 0, 0, 0, 72, 0]"
674,facebook in background for 200 sec,"[-2716, -2716, -171, 0, 0, 0, 0, 0, 0, 0, 296, 0, -561, -975, 0, 0, 0, 0, 0, 35, 0, 314, 0, 696, 0, 533, 0, -564, -540, 35, 0, 0, 35, 0, 442, 0, 430, 0, 434, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 231, 0, 35, 0, 442, 0, -771, 35, 0, 35, 0, 334, 0, 1358, 0, 444, 0, 35, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 1358, 1358, 1358]"
675,facebook in background for 200 sec,"[-50, -727, 0, 0, 0, 33, 0]"
676,facebook in background for 200 sec,"[-24, 0, 0, 0, 0, 0, 0, 0, 0]"
677,facebook in background for 200 sec,"[-39, 0, 0, 0]"
678,facebook in background for 200 sec,"[-39, 0, 0, 0]"
679,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
680,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
681,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
682,facebook in background for 200 sec,"[-68, 0, 0]"
