flow_number,action,packets_length_total
37,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
38,open facebook,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
41,writing search,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
41,user profile selection,"[-31, 0, 0, 0, 542, 0, 35, 1358, 0, 238, 0, 0, 35, 0, 778, 0, 35, 788, 0, 0, 35, 0, 818, 0]"
42,user profile selection,"[52, 315, 0, 0, -33, 0]"
42,user photos selection,"[338, 0]"
45,writing message,"[1358, 64, 0, 0, 0]"
46,facebook in background for 200 sec,"[-2716, -2716, -2716, -2716, 0, -654, 0, 0, 0, 0, 0, 0, -2716, -2716, -828, 0, 0, 0, 0, -2716, -2483, 0, 0, 0, 0, 0, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 767, 0]"
49,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
50,facebook in background for 200 sec,"[39, 0, 0, 0, 0, 0, 0]"
51,facebook in background for 200 sec,"[0, 0, 0, -110, 0, 0, 74, 0, 31, 0, 0, -1001, 0, 0, 35, 0, 630, 0]"
52,facebook in background for 200 sec,"[-625, -416, -393, -385, 0, 0, 0, 0, 48, 0, 35, 0, 412, 602, 0, 0, 347, 0, 368, 0, 35, 0, 334, 0]"
53,facebook in background for 200 sec,"[-727, -50, 0, 0, 0, 33, 0]"
54,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0]"
56,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
57,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
58,facebook in background for 200 sec,"[-39, 39, 0, 0, 0, 0]"
59,facebook in background for 200 sec,"[-68, 0, 0]"
