flow_number,action,packets_length_total
247,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
248,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
249,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
250,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
251,writing search,"[0, 0, 0, 0, 0, 1358, 321, 0, 0, 0, -202, 0, -72, -40, -399, 0, 0, 0, 0, 33, 0, 2716, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, -44, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 960, 0, 0, 0, -44, 0, 52, 0, 84, 0, -33, 0, 0, 52, 0, 314, 0, 33, -33, 0, 0, 0, 0]"
254,user profile selection,"[-735, 0, 0, 1358, 0, 338, 0]"
257,writing message,"[1358, 0, 1358, 1358, 0, 1358, 1358, 0, 135, 1358, 0, 64, 0, 0, 0, 1358, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 1358, 0, 1203, 1358, 0, 64, 0]"
259,back to news,"[-35, 0, -1358, 0, -71, 0, -35, 0, 0, -35, -1358, 0, -1251, 0, -1078, 0, -1358, 0, -1358, 0, -1358, 0, 0, -1358, -1357, 0, -35, 0, -1358, 0, -1358, 0, -1358, 0]"
259,facebook in background for 200 sec,"[2716, 2716, 211, 0, 0, 0, 0, 0, 0, 0, -291, 0, 0, 0, 976, -35, 0, -35, -315, 0, -433, 0, -473, 0, 561, -35, 0, 540, -35, 0, 0, -35, -35, 0, 0, -439, 0, -455, -768, 0, 0, -1358, -235, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, -26]"
268,facebook in background for 200 sec,"[-39, 0, 0, 0]"
269,facebook in background for 200 sec,"[-39, 0, 0, 0]"
270,facebook in background for 200 sec,"[-39, 0, 0, 0]"
271,facebook in background for 200 sec,"[-727, -50, 0, 0, 0, 33, 0]"
272,facebook in background for 200 sec,"[0, 0, 0, -110, 0, 0, 74, 0, 31, 0, 0, -2643, 0, 0, 0, 1358, 481, 0, 1358, 1358, 0, 1358, 864, 0]"
273,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
274,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
275,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
276,facebook in background for 200 sec,"[-39, 0, 39, 0, 0]"
277,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
278,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
279,facebook in background for 200 sec,"[-68, 0, 0]"
