flow_number,action,packets_length_total
533,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
534,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
535,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
536,writing search,"[-72, -40, -399, 0, 0, 0, 0, 33, 0, 0, -44, 0, 0, 52, 0, 84, 0, -33, -44, 33, 0, 0, 0, 0, 0, 52, 0, 315, 0, -33, 0, 0]"
538,user profile selection,"[1358, 0, 338, 0]"
539,writing message,"[0, 0, 0, 0, 0, 929, 0, -1816, -2716, -167, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1358, 0, 239, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358]"
541,facebook in background for 200 sec,"[2716, 1915, 0, 0, 0, 0, 0, 0, 0, -293, 0, 0, 0, 975, 0, -435, 0, -654, -482, 0, 564, 561, -35, 540, 0, 0, -35, -463, 0, -433, 0, -435, 0, -1358, 0, -241, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -21, 0, -35, 0]"
549,facebook in background for 200 sec,"[-39, 0, 0, 0]"
550,facebook in background for 200 sec,"[-39, 0, 0, 0]"
551,facebook in background for 200 sec,"[-39, 0, 0, 0]"
552,facebook in background for 200 sec,"[-728, -50, 0, 0, 0, 33, 0]"
553,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
554,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
555,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
556,facebook in background for 200 sec,"[-68, 0, 0]"
