flow_number,action,packets_length_total
813,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
814,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
815,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
816,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
817,open facebook,"[0, 0, 0, 0, 0, 927, 0, -24, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
818,writing search,"[0, 0, 0, 0, 0, 1358, 0, 322, 0, 0, 0, -202, -72, -40, -399, 0, 0, 0, 0, 33, 0, -44, 0, 0, 52, 0, 0, 84, 0, -33, -44, 33, 0, 52, 313, 0]"
819,writing search,"[-1296, -31, 0, 0, 542, 0, 0, 0, 1358, 0, 266, 0, 0]"
821,user profile selection,"[1358, 0, 338, 0]"
823,writing message,"[35, 0, 538, 0]"
824,writing message,"[0, 0, 0, -749, 0, 0, 80, 0, 44, 0, 0, 444, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, -31, 1358, 1358, 0, 1358, 777, 1358, 0, 64, 0, 0, 0]"
825,back to news,"[-2546, 0, 0, 0, 0, 0, 0, 0, 0, 318, 0]"
825,facebook in background for 200 sec,"[-134, 0, 0, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 376, 0]"
826,facebook in background for 200 sec,"[488, -33, -33, 0, 0, 0, -50, 0, 0, -50, -50, 0, 0]"
827,back to news,"[0, 0, 0, 0, 80, 0, 0, 0, 0]"
828,back to news,"[0, 0, 0, -1014, 0, 80, 0, 0, -31, 0, 444, 1993, 0, 0, 1358, 64, 0, 165, 1358, 0, 389, 1358, 0, 64, 0, 0, 0]"
829,facebook in background for 200 sec,"[-39, 0, 0, 0]"
830,facebook in background for 200 sec,"[-39, 0, 0, 0]"
831,facebook in background for 200 sec,"[-39, 0, 0, 0]"
832,facebook in background for 200 sec,"[-727, 0, 0, 0, 33, 0]"
833,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
834,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
835,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
836,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
837,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0]"
838,facebook in background for 200 sec,"[-68, 0, 0]"
