flow_number,action,packets_length_total
618,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
619,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
620,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
622,user profile selection,"[1358, 338, 0, 0]"
626,writing message,"[0, 0, 0, -965, 0, 0, 0, 80, 0, 57, 0, 446, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, -31, 1358, 1358, 0, 994, 1358, 0, 64, 0, 0, 272, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1310, 1358, 64, 0, 0]"
627,facebook in background for 200 sec,"[2716, 1908, 0, 0, 0, 0, 0, 0, -293, 0, 1659, -35, 0, 0]"
630,back to news,"[0, 0, 0, -1372, -290, -230, -231, 0, 0, 80, 0, -31, 0, 446, 537, 0, 1358, 0, 64, 278, 2625, 0, 0, 0, 0, -231, 64, 0, 23, 933, 0, 0, 0, 64, 0, 159, 1358, 1025, 0, 1358, 64, 0, 221, 1170, 0, 1358, 64, 196, 0, 1358, 982, 0, 1358, 0, 64, 0, 221, 0, 1358, 0, 767, 1358, 0, 64, 0, 0, 406, 0, 1358, 500, 0, 0, 1358, 64, 0, 0, 195, 0, 1358, 0, 802, 0, 1358, 64, 0, 195, 0, 0, 1358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
632,back to news,"[-230, -228, -230, 0, 184, 0, 1358, 0, 56, 0, 0, 1358, 64, 0, 0, 0, 162, 0, 0, 653, 0, 1358, 0, 64, 0, 35, 159, 1358, 0, 741, 1358, 0, 64, -230, -231, 217, 1358, 599, 0, 1358, 0, 0, 194, 0, 726, 1358, -228, -289, 64, 197, -228, 0, 863, -229, 1358, 64, 0, 195, 1110, 1358, 0, 64, 194, 1358, 0, 388, 1358, 0, 64, 200, 1358, 58, 0, 1358, 0, 64, 35, 345, 1358, 1153, 0, 0, 1358, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
635,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
636,facebook in background for 200 sec,"[-39, 0, 0, 0]"
637,facebook in background for 200 sec,"[50, 0, 0, 0, -33, 0]"
638,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
639,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
640,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
641,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
642,facebook in background for 200 sec,"[-39, 39, 0, 0, 0, 0]"
643,facebook in background for 200 sec,"[39, 0, 0, 0, 0, 0]"
644,facebook in background for 200 sec,"[-68, 0, 0]"
