flow_number,action,packets_length_total
185,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
186,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
187,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
188,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
189,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0]"
190,writing search,"[0, 0, 0, 0, 0, 1358, 0, 323, 0, 0, 0, -202, -72, -40, -399, 0, 0, 0, 33, 0, 0, -44, 0, 0, 0, 52, 0, 84, -33, -44, 33, 0, 52, 0, 313, 0, 0, -33, 0, 0, 0, 0]"
191,writing search,"[-1297, -31, 0, 0, 415, 0, 0, 0, 0, 792, 0, 35, 803, 0, 0, 35, 0, 785, 0, 35, 0]"
195,facebook in background for 200 sec,"[2716, 2716, 2716, 2716, 515, 0, 0, 0, 0, 0, 0, 0, 2716, 2716, 1194, 0, 0, 0, 0, 0, 400, 0, 0, 0, 0, 0, -1358, 0, -219, -1358, 0, -1358, 0, -1358, 0, -760, 0, -1358, 0, 0, -164, -1358, 0, -1267, 0, -1358, 0, -164, 0, 0, -1358, 0, -1358, -1358, 0, 0, -1358, -1358, 0, 0, -184, -1358, -1358]"
196,back to news,"[2716]"
197,facebook in background for 200 sec,"[-50, 0, 0, -50, 0]"
205,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
206,facebook in background for 200 sec,"[-39, 0, 0, 0]"
207,facebook in background for 200 sec,"[-39, 0, 0, 0]"
208,facebook in background for 200 sec,"[-50, -727, 0, 0, 0, 33, 0]"
209,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
210,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
211,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
212,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
213,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
214,facebook in background for 200 sec,"[39, 0, 0, 0, 0]"
215,facebook in background for 200 sec,"[39, 0, 0, 0, 0]"
216,facebook in background for 200 sec,"[0, 0, 39, 0, 0, 0, 0, 0]"
217,facebook in background for 200 sec,"[-39, 0, 39, 0, 0, 0]"
218,facebook in background for 200 sec,"[-68, 0, 0]"
