flow_number,action,packets_length_total
464,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
465,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
466,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
467,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
468,open facebook,"[0, 0, 0, 0, 929, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
469,writing search,"[-1299, -31, 0, 0, 542, 0, 0]"
470,user profile selection,"[-72, -40, -402, 0, 0, 0, 33, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 932, 0, 0, -44, 0, 0, 0, -44, 0, 0, 52, 84, 0, 0, -33, 0, 0, 0, 52, 0, 314, 0, 0, -33]"
471,writing message,"[0, 0, 0, 0, 0, 928, 0, -2716, -1951, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 396, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0]"
474,back to news,"[-35, 0, -1358, 0, -1170, 0, -96, 0, 0, -1078]"
474,facebook in background for 200 sec,"[2716, 2716, 314, 0, 0, 0, 0, 0, 0, 977, -35, 0, -35, -317, 0, -676, 0, 0, -564, 563, 540, -48, 0, 0, -35, 0, -35, 0, -477, -439, 0, -35, -435, 0, -433, 0]"
475,back to news,"[74, 0]"
482,facebook in background for 200 sec,"[-39, 0, 0, 0]"
483,facebook in background for 200 sec,"[-39, 0, 0, 0]"
484,facebook in background for 200 sec,"[-39, 0, 0, 0]"
485,facebook in background for 200 sec,"[-50, -727, 0, 0, 0, 33, 0]"
486,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
487,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
488,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
489,facebook in background for 200 sec,"[-68, 0, 0]"
