flow_number,action,packets_length_total
4,writing search,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
4,user profile selection,"[-31, 0, 0, 542, 0, 0]"
5,user profile selection,"[1358, 0, 338, 0]"
6,writing message,"[0, 0, 0, 0, 0, 74, 0, -1817, -31, 0, -2649, 0, 0, 0, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 299, 0, 1358, 0, 236, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 374, 0, 0, 1358, 164, 0, 1358, 0, 0, 1358, 1013, 0, 0, 1358, 0, 164, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1110, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 27, 0, 0, 1358, 1358, 0, 0, 1358, 1278]"
8,facebook in background for 200 sec,"[2716, 2716, 2716, 2716, 0, 756, 0, 0, 0, 0, 0, 0, 0, 0, 0, -291, 0, 1780, 0, 0, 0, 0, 0, -313, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, -1358, 0, -1358, 0, 0, -1358, 0, 0, -1358, -852, 0]"
9,facebook in background for 200 sec,"[-50, 0, -50, 0, -50, 0, 0, -50, 0, 0]"
11,facebook in background for 200 sec,"[-50, 0, 0, 0, 33, 0]"
12,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0]"
13,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
14,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
17,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
18,facebook in background for 200 sec,"[-68, 0, 0]"
