flow_number,action,packets_length_total
689,open facebook,"[0, 0, 0, 0, 928, 0, 0, 0, 74, 0]"
690,open facebook,"[0, 0, 0, 0, 929, 0, 0, 0, 74, 0]"
691,open facebook,"[0, 0, 0, 0, 929, 0, 0, 0, 74, 0]"
697,writing search,"[-1324, -31, 0, 0, 541, 0, 0, 0, 0, 1358, 17, 0, 0]"
701,writing message,"[-227, 0, 0, 211, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 736, 0, 1358, 0, 64, 0]"
702,back to news,"[-2716, 0, -593, 0, 0, 0, 0, 0, 0, 0, 292, 0]"
706,back to news,"[-241, 0, 0, 184, 0, 1315, 0]"
707,facebook in background for 200 sec,"[-321, 0, 0, 52, 84, -33, 52, -33, 340, 0, -33, -33, 0, 0, 0, 0, -467, 52, 84, -33, -33, 52, 480, -33, -33, 0, 0, 0, 0, 0, 52, 0, 84, -33, 52, 489, -33, -33, 0, 0, 0, 0, -50, 0, -50, 0, 0, -50, 0, 0, -727, 0, 33, 0, 0]"
708,facebook in background for 200 sec,"[-39, 0, 0, 0]"
709,facebook in background for 200 sec,"[-39, 0, 0, 0]"
710,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
711,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
712,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
713,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
714,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
715,facebook in background for 200 sec,"[39, 0, 0, 0, 0, 0]"
716,facebook in background for 200 sec,"[-68, 0, 0]"
