flow_number,action,packets_length_total
25,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
26,open facebook,"[0, 0, 0, 0, 927, 0, 0, 0, 74, 0]"
27,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
28,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
29,open facebook,"[0, 0, 0, 0, 967, 0, 0, -738, 0, 80, 0, 0, 705, 23, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 1358, 1358, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 1358, 0, 1358, 0, 1358, 1358, 1358, 0, 1358, 0, 1358, 1358, 1358, 0, 1358, 0, 1358, 1358, 1358, 0, 1358, 0, 1358, 1358, 1358, 0, 1358, 0, 1358, 0, 0, 0, 0]"
31,user profile selection,"[-202, 0, -72, -40, 0, 0, -401, 0, 33, 0, 0, -44, 0, 0, 0, 52, 0, 84, 0, -33, 33, -44, 0, 52, 0, 314, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, 1358, 0, 338, 0]"
34,back to news,"[0]"
34,facebook in background for 200 sec,"[35, 0, 1358, 0, 1164, 0, 96, 0, 1068, 41, 0, 0, -2716, -2614, 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, -967, -977, 0, 0, 0, 0, 35, 0, 840, 0, 447, 0, 470, 0, 0, 0, 349, 0, 35, 0, 454, 0, 35, 0, 462, 0]"
35,back to news,"[64, 0, 0, 41, 0]"
41,back to news,"[0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0]"
48,back to news,"[0, 0, 0, 0, 0, 1327, 0, 0, 580, 0, 0, 0]"
49,back to news,"[0, 0, 0, 0, 0, 0, 1327, 0, 0, 0]"
56,back to news,"[0, 0, 0, 0, 0, 1325, 0, 0, 0, 0]"
62,back to news,"[0, 0, 0, 0, 0, 929, 0, 0, 0, 0, 0, 0]"
94,facebook in background for 200 sec,"[-50, -728, 0, 0, 0, 33, 0]"
95,facebook in background for 200 sec,"[-39, 0, 0, 0]"
96,facebook in background for 200 sec,"[-39, 0, 0, 0]"
97,facebook in background for 200 sec,"[-39, 0, 0, 0]"
98,facebook in background for 200 sec,"[-39, -24, 0, 0]"
99,facebook in background for 200 sec,"[-39, -24, 0, 0]"
100,facebook in background for 200 sec,"[-39, -24, 0, 0]"
101,facebook in background for 200 sec,"[-39, -24, 0, 0]"
102,facebook in background for 200 sec,"[-39, -24, 0, 0]"
103,facebook in background for 200 sec,"[-24, 0, 0]"
104,facebook in background for 200 sec,"[-24, 0, 0, 0]"
105,facebook in background for 200 sec,"[24, 0, 0, 0, 0]"
106,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,facebook in background for 200 sec,"[-46, -31, 0]"
108,facebook in background for 200 sec,"[-46, -31, 0, 0, 0, 0]"
109,facebook in background for 200 sec,"[-46, -31, 0, 0]"
110,facebook in background for 200 sec,"[-31, 0, 0, 0]"
111,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
112,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
113,facebook in background for 200 sec,"[-39, 0, 39, 0, 0, 0]"
114,facebook in background for 200 sec,"[-68, 0, 0]"
