flow_number,action,packets_length_total
325,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
326,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
327,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
328,open facebook,"[0, 0, 0, 0, 927, 0, 0, 0, 74, 0]"
329,open facebook,"[0, 0, 0, 0, 0, 928, 0, -24, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
330,writing search,"[1358, 322, 0, 0, 0, -202, 0, -72, -40, -399, 0, 0, 0, 0, 33, 0, 2716, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 0, 1358, 0, 0, 1358, 725, 0, 0, -44, 0, 52, 0, 84, 33, -33, 0, 0, 0, 315, 0, -33, 0, 0, 0, 0, 0]"
331,writing search,"[-1297, -31, 0, 0, 416, 0, 0, 0, 0, 994, 0, 35, 0, 774, 0, 35, 0, 35, 0, 368, 0, 345, 0]"
333,writing message,"[0, 0, 0, 0, 0, 928, 0, -2716, -1585, 0, 74, 0, 0, 0, 0, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 297, 456, 0, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358]"
335,back to news,"[-1358, 0, -1347, 0]"
335,facebook in background for 200 sec,"[2716, 2716, 2716, 2716, 0, 2346, 0, 0, 0, 0, 0, 0, 0, 0, -348, 0, 450, 0, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, 0, -1358, -1358, 0, 0, -1358, -1254, 0, -1358, 0, -1358, 0, -1358, 0, 0, -7, -1358, 0, -366, 0, -1358, 0, -280, 0, -1358, -1358, -1347, -1358]"
336,back to news,"[0, 0, 0, -747, 0, 0, 80, 0, 0, 44, 0, -31, 0, 0, 0, 557, 983, 0, 1358, 0, 0, 64, 0]"
338,facebook in background for 200 sec,"[-461, 0, 0, 52, 84, -33, -33, 52, -33, 479, -33, 0, 0, 0, -468, 52, 84, -33, -33, 0, 0, 340, -33, -33, 0, 0, 0, 52, 0, 84, -33, 0, 0, 486, 0, -33, -33, 0, 0, 0, -50, 0, -50, 0, -50, 0, 0, -729, 0, 0, 0, 33, 0]"
339,facebook in background for 200 sec,"[-39, 0, 0, 0]"
340,facebook in background for 200 sec,"[-39, 0, 0, 0]"
341,facebook in background for 200 sec,"[-39, 0, 0, 0]"
342,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
343,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
344,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
345,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
346,facebook in background for 200 sec,"[-68, 0, 0]"
