flow_number,action,packets_length_total
509,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
510,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
511,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
512,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
514,user profile selection,"[1358, 0, 338, 0]"
517,back to news,"[0, 1358, 0]"
517,facebook in background for 200 sec,"[-2716, -1179, 0, 0, 316, 0, 0, 0, 292, 0, 35, 0, 315, 0, 0, 0, -975, 35, 0, 35, 0, 489, 0, 593, 0, 487, 0, -1022, -564, -540, 35, 0, 35, 0, 35, 0, 35, 0, 462, 0, 458, 0, 431, 35, 0, 430, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 251, 0]"
526,facebook in background for 200 sec,"[-39, 0, 0, 0]"
527,facebook in background for 200 sec,"[-39, 0, 0, 0]"
528,facebook in background for 200 sec,"[-727, -50, 0, 0, 0, 33, 0]"
529,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0]"
530,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
531,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
532,facebook in background for 200 sec,"[-68, 0, 0]"
