flow_number,action,packets_length_total
450,open facebook,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
451,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
452,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
453,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
454,writing search,"[1358, 0, 323, 0, 0, -202, 0, -72, -40, -398, 0, 0, 0, 0, 33, 0, 0, -44, 0, 52, 0, 84, 0, 33, -33, -44, 0, 0, 0, 0, 314, 0, 0, 33, -33, 0, 0, 0]"
457,user profile selection,"[-1358, 0, 0, -338]"
459,back to news,"[-517, 35, 0, 536, 0]"
459,facebook in background for 200 sec,"[35, 0, 1358, 0, 1358, 0, 88, 0, 96, 1068, 0, 41, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1358, 285, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1167, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1324, 0, 0, -2716, -2716, -1538, 0, 0, 0, 0, 335, 0, 0, 0, 326, 0, 0, -395, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1244, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 336, 0, 1358, 0, 307, 0, 1358, 1358]"
461,facebook in background for 200 sec,"[-347, 0, 0, 52, 84, -33, -33, 0, 0, 0, 367, 33, -33, -33, 52, 84, -33, -33, -468, 52, 342, -33, -33, 0, 0, 0, 0, 0, 0, 0, -462, 52, 84, -33, -33, 0, 0, 0, 490, -33, -33, 33, -50, 0, 0, 0, 84, 52, 480, -33, 0, 0, -99, -50, 0, 0, -50, 0, -50, 0, -727, 0, 0, 33, 0, 0]"
462,facebook in background for 200 sec,"[-39, 0, 0, 0]"
463,facebook in background for 200 sec,"[-39, 0, 0, 0]"
464,facebook in background for 200 sec,"[-39, 0, 0, 0]"
465,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
466,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
467,facebook in background for 200 sec,"[-68, 0, 0]"
