flow_number,action,packets_length_total
557,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
558,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
559,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
560,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
561,writing search,"[0, 0, 0, 0, 0, 1358, 0, 322, 0, 0, -202, 0, -72, -40, 0, 0, -400, 0, 0, 33, 0, 0, -44, 0, 0, 0, 84, 0, -33, -44, 0, 0, 0, 0, 52, 0, 314, 0, -33, 33, 0, 0]"
563,user profile selection,"[-1358, 0, -338, 0]"
564,writing message,"[0, 0, 0, 0, 0, 928, 0, -1817, -2716, -174, 0, 0, 0, 74, 44, 0, 0, 0, 0, 0, 0, 0, 0, 396, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 0]"
566,facebook in background for 200 sec,"[-2716, -852, 0, 0, 0, 0, 0, 0, 0, 0, 291, 0, -560, -975, 0, 0, -523, 0, 0, 0, 0, 314, 0, 448, 0, -1022, 0, 0, 553, 0, 35, 0, -540, 35, 686, 0, 455, 35, 0, 35, 0, 431, 0, 450, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 236, 0, 35, 0]"
567,back to news,"[927, 0, -1163, 0, 74, 0, 0, 0, 0, 0, 75, 0]"
575,facebook in background for 200 sec,"[-39, 0, 0, 0]"
576,facebook in background for 200 sec,"[-39, 0, 0, 0]"
577,facebook in background for 200 sec,"[-50, -726, 0, 0, 0, 33, 0]"
578,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
579,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
580,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
581,facebook in background for 200 sec,"[-68, 0, 0]"
