flow_number,action,packets_length_total
347,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
348,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
349,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
350,open facebook,"[0, 0, 0, 0, 927, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
352,writing search,"[-202, 0, -72, 0, -40, -400, 0, 0, 33, 0, 0, -44, 0, 0, 0, 52, 84, 0, 0, -33, -44, 33, 52, 0, 314, 0, -33, 0, 0, 0, 0, 0, 0]"
353,writing search,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
353,user profile selection,"[-31, 0, 0, 414, 0, 0, 0, 376, 0, 35, 0, 343, 0, 0, 35, 0, 366, 0, 35, 0, 343, 0]"
358,facebook in background for 200 sec,"[-727, 0, 0, 0, 0]"
359,facebook in background for 200 sec,"[-39, 0, 0, 0]"
360,facebook in background for 200 sec,"[-39, 0, 0, 0]"
361,facebook in background for 200 sec,"[-39, 0, 0, 0]"
362,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
363,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
364,facebook in background for 200 sec,"[-68, 0, 0]"
