flow_number,action,packets_length_total
645,open facebook,"[0, 0, 0, 0, 928, 0, 0, 0, 74, 0]"
646,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
648,writing search,"[0, 0, 0, 0, 0, 1358, 0, 322, 0, 0, -202, 0, -72, -40, 0, -399, 0, 0, 33, 0, 0, 0, -44, 0, 0, 52, 0, 84, 0, -33, -44, 33, 0, 0, 0, 0, 0, 313, 0, -33, 33, 0, 0, 0]"
649,writing search,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0, 0, -31, 0, 0, 541, 0, 0, 0, 1358, 0, 81, 0]"
650,user profile selection,"[1358, 0, 338, 0]"
653,writing message,"[0, 0, 0, -748, 0, 0, 0, 80, 0, 44, 0, 445, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, -31, 1843, 0, 1358, 64, 0, 0, 0, 0]"
654,back to news,"[1167, 0, 96, 1078, 0, 0]"
654,facebook in background for 200 sec,"[-2716, 0, -557, 0, 0, 0, 0, 0, 0, 334, 0, 0, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1025, 0]"
655,back to news,"[-230, -229, -230, -230, -230, 0, 187, 0, 1358, 0, 0, 450, 0, 1358, 0, 64, 0, 35, 0, 162, 0, 1358, 0, 147, 1358, 0, 0, 64, 0, -230, 35, 186, 1358, 0, 4, 0, 35, 160, 0, 1358, 122, 0, 1358, 64, 0, 35, 161, 931, 0, 0, -230, -231, -298, 64, 194, -230, 1236, -231, -229, 0, 64, 194, 0]"
657,facebook in background for 200 sec,"[319, 0, 0, -52, -84, 33, 33, 0, 0, 0, 467, -52, -84, 33, 33, -52, -340, 33, 33, 0, 0, 0, 0, 0, -52, -84, 33, 33, -52, -481, 33, 33, 0, 0, 0, 0, -488, 33, 33, 0, 0, 50, 0, 50, 0, 50, 0, 0, 725, 0, 0, 0, 0, -33]"
658,facebook in background for 200 sec,"[-39, 0, 0, 0]"
659,facebook in background for 200 sec,"[-39, 0, 0, 0]"
660,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
661,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
662,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
663,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
664,facebook in background for 200 sec,"[-68, 0, 0]"
