flow_number,action,packets_length_total
246,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
247,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
248,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
249,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
250,open facebook,"[0, 0, 0, -755, 0, 0, 0, 80, 44, 0, 0, 465, 0, 1358, 0, 1358, 0, 1358, 0, -31, 1358, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 0, 0, 1358, 0, 0, 1358, 0, 0, 1358, 0, 113, 0, 1358, 0, 64, 0, 186, 0, 35, 0, 35, 0, 183, 0, 23, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 0]"
251,open facebook,"[0, 0, 0, -747, 0, 80, 0, 0, -31, 0, 445, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 0, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
252,writing search,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0, 0, -31, 0, 419, 0, 0, 0, 1260, 0, 0, 35, 344, 0, 0]"
256,back to news,"[35, 1358, 0, 0]"
256,facebook in background for 200 sec,"[-2716, -1647, 0, 0, 0, 0, 35, 0, 0, 294, 0, 0, -419, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 308, 0, 1358, 349, 0, 1358, 1358, 0, 1352, 0, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 329, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 626, 0, 0, 1358, 0, 164, 0, 1358, 0, 1358, 1358, 0, 39, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 180]"
258,facebook in background for 200 sec,"[390, 0, 35, 0, 251, 0]"
260,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0]"
261,facebook in background for 200 sec,"[-39, 0, 0, 0]"
262,facebook in background for 200 sec,"[-457, 35, 0, 1358, 0, 595, 0]"
263,facebook in background for 200 sec,"[-727, -50, 0, 0, 0, 33, 0]"
264,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
265,facebook in background for 200 sec,"[-39, 39, 0, 0, 0, 0]"
266,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0]"
267,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
268,facebook in background for 200 sec,"[-68, 0, 0]"
