flow_number,action,packets_length_total
123,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
124,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
125,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
126,writing search,"[-400, 0, 0, 0, 0, 33, 0, 0, 0, 52, 0, 84, 0, 0, -33, -44, 33, 0, 52, 315, 0, -33, 0, 0, 0, 0, 0, 0]"
127,writing search,"[-1298, 0, -31, 0, 0, 414, 0, 0, 1358, 0, 156, 0, 35, 0, 0, 802, 0, 35, 794, 0, 0, 35, 825, 0, 0]"
128,user profile selection,"[-1358, 0, -338, 0]"
131,facebook in background for 200 sec,"[-2716, -2716, -2716, -2716, 0, -1632, 0, 0, 0, 0, 0, 0, -2716, -2716, -1040, 0, 0, 0, 0, 0, 0, 743, 0, 0, -2716, -2716, 0, -432, 0, 0, 0, 0, 138, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 7, 0, 0]"
133,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
134,facebook in background for 200 sec,"[-39, 0, 0, 0]"
135,facebook in background for 200 sec,"[-50, 0, -727, 0, 33, 0, 0]"
136,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
137,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
138,facebook in background for 200 sec,"[-68, 0, 0]"
