flow_number,action,packets_length_total
683,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
684,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
685,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
686,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
687,open facebook,"[0, 0, 0, 0, 929, 0, 0, -24, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0]"
688,writing search,"[0, 0, 0, 0, 0, 1358, 0, 322, 0, 0, -202, 0, -72, 0, -40, -398, 0, 0, -309, 33, -44, 2716, 0, 1358, 1358, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 989, 0, 0, 52, 84, -33, -33, -44, 33, 0, 0, 0, 313, 0, 0, -33, 0, 0, 0, 0]"
689,writing search,"[-1297, -31, 0, 0, 0, 541, 0]"
691,writing message,"[0, 0, 0, 0, 0, 928, 0, -2716, -1865, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 407, 0, 1358, 0, 260, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 0]"
693,facebook in background for 200 sec,"[2716, 437, 0, 0, 0, 0, 0, 0, -439, 0, 561, 976, 0, 0, 0, -35, 0, -354, 0, -574, 0, -491, 0, 563, 540, 562, -35, 0, -35, 0, -35, 0, -35, 0, -466, 0, -437, 0, -435, 0, -1358, 0, -241, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -7, 0, -35, 0]"
694,back to news,"[0, 0, 0, 0, 0, 927, 0, -1162, 0, 74, 0, 0, 0, 0, 0, 77, 0]"
700,facebook in background for 200 sec,"[-441, 0, 2716, 2716, 2716, 2716, 0, 2716, 0, 0, 0, 0, 0, 0, 0, -244, 0, -1358, -1358, 0, -227, 0]"
701,facebook in background for 200 sec,"[-726, -50, 0, 0, 0, 33, 0]"
702,facebook in background for 200 sec,"[-24, 0, 0, 0, 0, 0, 0, 0, 0]"
703,facebook in background for 200 sec,"[0, 0, 0, -110, 0, 0, 0, 74, 0, 31, 0, -2699, 0, 0, 0, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 68, 0]"
704,facebook in background for 200 sec,"[-39, 0, 0, 0]"
705,facebook in background for 200 sec,"[-39, 0, 0, 0]"
706,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
707,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
708,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
709,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
710,facebook in background for 200 sec,"[-68, 0, 0]"
