flow_number,action,packets_length_total
490,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
491,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
492,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
493,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
494,open facebook,"[0, 0, 0, -746, -226, 0, 0, 0, 80, 0, 44, 0, 0, -31, 0, 0, 0, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 899, 1358, 0, 64, 0, 0, -239, 236, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
495,writing search,"[323, 0, 0, -202, 0, -72, -40, -398, 0, 0, 0, 0, 33, 0, 2716, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1057, 0, 0, -44, 52, 84, -33, -33, 33, 0, 0, 0, 313, 0, -33, 0, 0, 0, 0, 0, 0]"
497,user profile selection,"[1358, 0, 338, 0]"
498,writing message,"[0, 0, 0, 0, 0, 928, 0, -1818, -2716, -157, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1317, 0, 399, 0, 1358, 164, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358]"
500,menu news selection,"[1358, 0, 2, 0]"
500,back to news,"[-2716, -825, 0, 0, 0, 0, 0, 0, 0, 293, 0]"
501,facebook in background for 200 sec,"[-725, 0, 0, 0, 0]"
502,facebook in background for 200 sec,"[-39, 0, 0, 0]"
503,facebook in background for 200 sec,"[-39, 0, 0, 0]"
504,facebook in background for 200 sec,"[-39, 0, 0, 0]"
505,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
506,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
507,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
508,facebook in background for 200 sec,"[-68, 0, 0]"
