flow_number,action,packets_length_total
746,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
747,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
748,open facebook,"[0, 0, 0, 0, 928, 0, 0, 0, 74, 0]"
749,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
750,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0]"
751,writing search,"[0, 0, 0, 0, 0, 1358, 323, 0, 0, 0, -202, 0, -72, 0, -40, -400, 0, 0, 0, 33, 0, -44, 0, 0, 0, 52, 84, 0, 0, -33, -44, 33, 0, 52, 0, 314, 0, -33, 0, 0, 0, 0, 0, 0]"
756,back to news,"[1167, 96, 0, 0, 1078, 0]"
756,facebook in background for 200 sec,"[-2716, -1790, 0, 0, 0, 0, 0, 0, 0, 0, 319, 0, 0, 35, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 120, 0]"
758,facebook in background for 200 sec,"[-39, 0, 0, 0]"
759,facebook in background for 200 sec,"[-39, 0, 0, 0]"
760,facebook in background for 200 sec,"[-39, 0, 0, 0]"
761,facebook in background for 200 sec,"[-50, -727, 0, 0, 0, 33, 0]"
762,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0]"
763,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
764,facebook in background for 200 sec,"[-68, 0, 0]"
