flow_number,action,packets_length_total
411,open facebook,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
412,open facebook,"[0, 0, 0, 0, 929, 0, 0, 0, 74, 0]"
413,open facebook,"[0, 0, 0, 0, 0, 928, 0, -24, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0]"
414,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
415,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
416,writing search,"[0, 0, 0, 0, 0, 1358, 0, 323, 0, 0, 0, -202, -72, -40, -402, 0, 0, 0, 33, 0, 0, -44, 0, 0, 0, 52, 0, 84, 0, -33, 33, -44, 52, 0, 313, 0, 0, 0, -33, 0, 0, 0, 0, 0]"
417,writing search,"[-1298, -31, 0, 0, 544, 0, 0]"
418,user profile selection,"[0, 0, -1358, 0, -338, 0]"
419,writing message,"[0, 0, 0, 0, 0, 927, 0, -2716, -1960, -507, 0, 74, 0, 0, 0, 0, 0, 1128, 0, 0, 0, 1358, 260, 0, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358]"
421,back to news,"[35, 0, 1358, 0]"
421,facebook in background for 200 sec,"[-2716, -1627, 0, 0, 0, 0, 0, 293, 0, 0, -561, -975, 0, 35, 0, 0, 35, 0, 409, 0, 676, 492, 0, 0, 0, -543, -563, -540, 35, 0, 35, 0, 35, 0, 35, 0, 459, 0, 441, 0, 35, 432, 0, 431, 0, 1358, 241, 0, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 64, 0, 0]"
422,back to news,"[0, 0, 0, 0, 0, 929, 0, -1164, 0, 0, 74, 44, 0, 0, 79, 0]"
431,facebook in background for 200 sec,"[-39, 0, 0, 0]"
432,facebook in background for 200 sec,"[-39, 0, 0, 0]"
433,facebook in background for 200 sec,"[-727, -50, 0, 0, 0, 33, 0]"
434,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
435,facebook in background for 200 sec,"[-39, 39, 0, 0, 0, 0]"
436,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
437,facebook in background for 200 sec,"[-68, 0, 0, 0, 0]"
