flow_number,action,packets_length_total
219,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
220,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
221,open facebook,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
222,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
223,open facebook,"[0, 0, 0, 0, 929, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
224,open facebook,"[0, 0, 0, 0, -743, 0, 0, 80, 44, 444, 0, 510, 1358, 64, 0, 0, 0, -317, 0, 174, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
225,open facebook,"[0, 0, 0, 0, 967, 0, 0, -741, 0, 80, 0, 0, 706, 1358, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0]"
226,open facebook,"[0, 0, 0, -748, 0, 0, 0, 80, 0, 44, 0, 445, 0, 905, 0, 1358, 0, 64, 0, -31, 0, 0, 0]"
227,writing search,"[0, 0, 0, 0, 0, 1358, 321, 0, 0, 0, -202, 0, -72, -40, -398, 0, 0, 0, 0, 33, 0, -44, 0, 0, 52, 0, 0, 84, 0, -33, 33, -44, 0, 52, 313, 0, 0, -33, 0, 0, 0, 0, 0, 0]"
228,writing search,"[-1323, -31, 0, 0, 417, 0, 0, 0, 0, 1358, 61, 0, 0, 35, 0, 799, 0, 35, 0, 786, 0]"
230,writing message,"[0, 0, 0, 0, 928, 0, 0, -2716, -1570, 0, 74, 0, 0, 0, 0, 0, 0, 1358, 0, 578, 0, 1358, 1358, 0, 0, 1137, 400, 0, 1358, 0, 0, 1358, 423, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358]"
232,back to news,"[-2716, -2716, -2716, -2716, 0, -279, 0, 0, 0, 0, 0, 0, -2716, -2716]"
233,back to news,"[529, 0]"
234,facebook in background for 200 sec,"[52, 84, 0, 0, -33, 0, 0, 487, -33, -33, 0, 0, 0, 0, -50, 0, -50, -50, 0, -50, 0, 0]"
236,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
237,facebook in background for 200 sec,"[-39, 0, 0, 0]"
238,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0]"
239,facebook in background for 200 sec,"[-726, -50, 0, 0, 0, 33, 0]"
240,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
241,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
242,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0]"
243,facebook in background for 200 sec,"[39, 0, 0, 0, 0, 0]"
244,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
245,facebook in background for 200 sec,"[-68, 0, 0]"
