flow_number,action,packets_length_total
431,open facebook,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
432,open facebook,"[0, 0, 0, 0, 927, 0, 0, 0, 74, 0]"
433,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
434,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
435,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
436,writing search,"[0, 0, 0, 0, 0, 1358, 0, 323, 0, 0, -202, 0, -72, -40, -400, 0, 0, 0, 33, 0, -44, 0, 0, 84, -33, -33, 33, -44, 52, 0, 0, 314, 0, -33, 0, 0, 0, 0, 0, 0]"
438,user profile selection,"[1358, 0, 0, 338, 0]"
441,back to news,"[35, 0, 1358, 0, 1170, 0, 96, 0, 1078, 0]"
441,facebook in background for 200 sec,"[-2716, -2716, 0, -488, 0, 0, 0, -396, 0, 0, 1358, 259, 0, 0, 1358, 0, 887, 0, 1358, 0, 1358, 0, 1358, 43, 0, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 497, 0, 1358, 299, 0, 1358, 1358, 0, 1353, 0, 1358, 0, 1358, 1358, 0, 7, 0, 0, 1358, 1358, 0, 0, 1358, 346, 0, 0, 0, 1358, 0, 0, 1358, 7, 0, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 638, 0, 1358, 1358, 0, 1358]"
444,facebook in background for 200 sec,"[-728, 0, -733, 0, 0, 0, 1358, 0, 338, 0, -50, 0, 0, 0, 33, 0]"
445,facebook in background for 200 sec,"[-39, 0, 0, 0]"
446,facebook in background for 200 sec,"[-39, 0, 0, 0]"
447,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
448,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
449,facebook in background for 200 sec,"[-68, 0, 0]"
