flow_number,action,packets_length_total
365,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
366,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
367,open facebook,"[0, 0, 0, 0, 929, 0, 0, 0, 74, 0]"
368,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0]"
369,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
370,open facebook,"[0, 0, 0, -983, 0, 0, 80, 0, 57, 557, 1358, 64, 0, 166, 0, 0, 23, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 0, 0, 0, 0, 0]"
371,open facebook,"[0, 0, 0, 0, 80, 0, 0, 0, 0]"
373,writing search,"[-1324, -31, 0, 0, 415, 0, 0]"
374,user profile selection,"[-1358, 0, -338, 0]"
377,facebook in background for 200 sec,"[-2716, -2716, -2716, -2716, -2716, 0, -203, 0, 0, 0, 0, 0, 0, 0, 0, -2716, -2716, -939, 0, 0, 0, 0, 0, 0, -906, 0, 0, 0, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 97, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 335, 0, 1358, 284, 0, 0, 1358, 1358, 0, 0, 1357, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 632, 0, 0, -1768, 35, 0, 0, 0, 366, 0, 1358]"
383,facebook in background for 200 sec,"[-39, 0, 0, 0]"
384,facebook in background for 200 sec,"[-39, 0, 0, 0]"
385,facebook in background for 200 sec,"[-39, 0, 0, 0]"
386,facebook in background for 200 sec,"[-726, -50, 0, 0, 0, 33, 0]"
387,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
388,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
389,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
390,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
391,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0]"
392,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
393,facebook in background for 200 sec,"[-68, 0, 0]"
