flow_number,action,packets_length_total
560,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
561,open facebook,"[0, 0, 0, 0, 927, 0, 0, 0, 74, 0]"
562,open facebook,"[0, 0, 0, 0, 928, 0, 0, 0, 74, 0]"
563,open facebook,"[0, 0, 0, -744, 0, 0, 0, 80, 0, 44, 0, -31, 0, 0, 0, 558, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 132, 0, 0, 1358, 0, 64, 0, 0, 159, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 955, 1358, 0, 64, 0, 35, 184, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
565,writing search,"[-1324, -31, 0, 0, 0]"
569,facebook in background for 200 sec,"[2716, 791, 0, 0, 0, -334, 0, -35, 0, -337, 0]"
571,facebook in background for 200 sec,"[-47, 0, 0, 0, 0, -735, 0, 33, 0, 1358, 0, 338, 0, -727, 0, 0, 0, 33, 0]"
572,facebook in background for 200 sec,"[-506, 35, 0, 728, 0, -2099, -2159, 35, -399, 0, 0, 35, 0, 35, 0, 0, 531, 0, 462, 425, 0, 389, 0, 0, 35, 0, 230, 0, -495, -725, 35, -404, 0, 35, 0, -2716, -2716, -2716, 35, -2716, 35, -2716, 331, 0, 0, -908, 0, 0, 0, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 356, 0, 1358, 0, 441, 0, 35, 0, 1358, 0, 253, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 1358, 580, 1358, 497]"
573,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0]"
574,facebook in background for 200 sec,"[-39, 0, 0, 0]"
575,facebook in background for 200 sec,"[0, 0, 0, -110, 0, 0, 105, 0, 0, -2716, -69, 0, 0, 0, 1358, 504, 0, 1358, 1358, 0, 1358, 1358, 0, 1297, 0]"
576,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
577,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
578,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
579,facebook in background for 200 sec,"[39, 0, 0, 0, 0, 0]"
580,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
581,facebook in background for 200 sec,"[-68, 0, 0]"
