flow_number,action,packets_length_total
765,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
766,open facebook,"[0, 0, 0, 0, 928, 0, 0, 0, 74, 0]"
767,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
768,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
769,open facebook,"[0, 0, 0, 0, 0, 929, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
770,writing search,"[0, 0, 0, 0, 0, 1358, 0, 323, 0, 0, -202, 0, -72, -40, -398, 0, 0, 0, 0, 33, 0, 2716, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 754, 0, -44, 0, 0, 0, 0, -44, 0, 0, 52, 84, 0, 0, -33, 0, 0, 0, 52, 0, 313, 0, 0, -33, 0]"
771,writing search,"[-1296, 0, -31, 0, 541, 0, 0, 0, 0, 1303, 0, 35, 0]"
773,user profile selection,"[1358, 0, 338, 0]"
775,facebook in background for 200 sec,"[1233, 1078, 0, 0, -2716, -1650, 0, 0, 0, 0, 0, 314, 0, 0, 35, 0]"
778,facebook in background for 200 sec,"[-39, 0, 0, 0]"
779,facebook in background for 200 sec,"[-39, 0, 0, 0]"
780,facebook in background for 200 sec,"[-39, 0, 0, 0]"
781,facebook in background for 200 sec,"[-728, -50, 0, 0, 0, 33, 0]"
782,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
783,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
784,facebook in background for 200 sec,"[-68, 0, 0]"
