flow_number,action,packets_length_total
785,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
786,open facebook,"[0, 0, 0, 0, 0, 928, 0, 0, 74, 0]"
787,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
788,open facebook,"[0, 0, 0, 0, 928, 0, 0, 0, 74, 0]"
789,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0]"
790,open facebook,"[0, 0, 0, -973, 0, 0, 0, 80, 0, 57, 0, 445, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, -31, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 727, 0, 1358, 64, 186, 0, 0, 301, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
791,open facebook,"[0, 0, 0, 0, 0, 80, 0, 0, 0]"
792,open facebook,"[0, 0, 0, -1219, 0, 80, 0, 0, -31, 0, 447, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 0, 0, 1358, 105, 0, 1358, 0, 64, 172, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 1358, 0, 1358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
793,open facebook,"[0, 0, 0, 0, 0, 80, 0, 0, 0]"
794,open facebook,"[0, 0, 0, 0, 80, 0, 0, 0, 0]"
795,writing search,"[-72, -40, 0, 0, -398, 0, 0, 33, 0, 0, -44, 0, 0, 52, 84, 0, 0, -33, -44, 33, 0, 0, 0, 0, 0, 313, 0, -33, 33, 0, 0, 0]"
796,writing search,"[-1322, 0, -31, 0, 0, 541, 0, 0, 0, 806, 0, 35, 0, 774, 0, 35, 792, 0, 0]"
798,writing message,"[0, 0, 0, 0, 0, 929, 0, -2716, -1861, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 420, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 23, 0, 1358, 0, 0, 164, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0]"
801,facebook in background for 200 sec,"[-727, 0, 0, 0, 0]"
802,facebook in background for 200 sec,"[-39, 0, 0, 0]"
803,facebook in background for 200 sec,"[-39, 0, 0, 0]"
804,facebook in background for 200 sec,"[-39, 0, 0, 0]"
805,facebook in background for 200 sec,"[0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
806,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
807,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
808,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
809,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0]"
810,facebook in background for 200 sec,"[39, 0, 0, 0, 0, 0, 0]"
811,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
812,facebook in background for 200 sec,"[-68, 0, 0]"
